contributor,category,r2,mae,pga,ctd_100,ctd_200,ctd_300,flag_300,n_activities,frequency,seasonality,data_points
review-notebook-app[bot],bot,-2.067721756639218,3.5501265863450215,0.9283018867924528,22,106,160,1,300,20T,72.0,433
robot-clickhouse,bot,-0.04720665689672687,1.1546936922709987,0.9082397003745318,18,48,72,1,294,H,24.0,475
rultor,bot,-0.5652199006802516,1.4613591243410096,0.1995249406175772,-275,-154,-2,-1,298,20T,72.0,341
rust-timer,bot,-0.3043498817141781,1.6310244019516007,0.3154121863799283,-97,-87,-1,-1,300,20T,72.0,442
rustbot,bot,-0.09293169910292565,0.9235979960261069,0.6699507389162561,19,16,51,1,300,30T,48.0,441
sagemaker-bot,bot,-0.4045073112620863,1.9907531393794626,0.7363636363636363,-15,2,58,1,299,20T,72.0,386
salesforce-cla[bot],bot,-0.015741374167513866,1.2212223581095785,0.6642335766423357,-69,-108,-1,-1,300,4H,6.0,510
scrutinizer-notifier,bot,-0.1708283660051788,1.203200171884744,0.8875,59,192,396,1,300,H,24.0,657
sentry-io[bot],bot,-0.0689585400976025,0.5647046482333519,0.7701711491442543,-16,-4,8,1,299,H,24.0,760
similar-code-searcher[bot],bot,-0.0360188663306833,0.6473433761349626,0.5515873015873016,-191,-260,-1,-1,298,2H,12.0,539
skia-flutter-autoroll,bot,-0.2788943210235655,1.6227674159844274,0.6856060606060606,0,22,71,1,300,20T,72.0,417
softwarefactory-project-zuul[bot],bot,-6.246482450921807,3.0638765098492624,0.083710407239819,-209,-111,-1,-1,300,30T,48.0,335
soloio-bot,bot,-0.11772691110851397,1.2576001084172312,0.9616477272727273,39,366,263,1,275,H,24.0,574
sourcegraph-bot,bot,-376.1578478494104,6.811852064166747,0.5757931844888367,182,225,504,1,299,3T,,500
spinnakerbot,bot,0.0036025016172306357,1.4693625905128889,0.608,-182,-134,-9,-1,292,2H,12.0,524
spring-builds,bot,-0.044081012483615956,0.9931026579353697,0.3415977961432507,-299,-138,-1,-1,300,4H,6.0,441
sprucelabs-ci,bot,-3.3871336530989975,5.138110410261752,0.8791666666666667,5,7,179,1,300,8T,168.0,400
sre-bot,bot,-1.449438053994879,0.7990700877015986,0.9545983701979045,783,1510,1883,1,294,H,24.0,661
stakater-user,bot,-33.07769553163201,3.277580531387204,0.9858968708682239,680,1289,1970,1,298,30T,48.0,385
status-im-auto,bot,-0.38699042871007827,0.7170327118325498,0.18971631205673758,-445,-167,-1,-1,299,30T,48.0,565
submariner-bot,bot,-7.3452237971982886,4.419647587555771,0.9661016949152542,91,353,525,1,298,20T,72.0,393
swift-ci,bot,-0.057464794097497274,0.6916430134910312,0.5631469979296067,-77,-80,-1,-1,300,7T,,355
taichi-gardener,bot,-0.23089818620399472,1.9995947101565568,0.9258620689655173,-1,177,302,1,271,H,24.0,799
thundernest-bot,bot,-0.9770039713059506,2.0457368835694294,0.8813559322033898,-1,44,190,1,299,4H,6.0,416
translatewiki,bot,-0.1561423169176268,1.2976548201907332,0.03968253968253968,-1,-49,-1,-1,264,H,24.0,408
tykbot[bot],bot,0.08525812468320404,1.4907034769984369,0.8282828282828283,-7,-38,-1,-1,300,3H,8.0,434
usercont-release-bot,bot,0.7500619898404428,0.4104135097279017,0.9310344827586207,-1,1,1,1,299,30T,48.0,526
va-bot,bot,0.4869244389761699,0.5207737707184811,0.733502538071066,7,0,0,1,300,3H,8.0,416
