contributor,category,r2,mae,pga,ctd_100,ctd_200,ctd_300,flag_300,n_activities,frequency,seasonality,data_points
vtex-io-ci-cd[bot],bot,0.055513755263649545,1.0876641797164144,0.8337182448036952,-95,-56,32,1,297,H,24.0,527
vtex-io-docs-bot[bot],bot,-0.24002272713751727,0.9091238647554308,0.8585017835909632,179,206,421,1,300,2H,12.0,504
welcome[bot],bot,-0.33798906427509445,1.0919510726515935,0.2222222222222222,-260,-142,-11,-1,290,20T,72.0,389
wet-boew-bot,bot,0.026985119300380944,1.5518941164554079,0.8958333333333334,-30,-11,14,1,300,4H,6.0,426
wso2-jenkins-bot,bot,-0.1698335820286685,1.2969899396672908,0.8505747126436781,47,160,169,1,299,30T,48.0,376
335498,human,-7.445476651769193,3.0317129040115067,0.9746575342465753,525,611,1240,1,297,30T,48.0,335
335745,human,-6.229317024221946,11.948262726119466,0.9830508474576272,23,35,299,1,294,3H,8.0,448
353444,human,-0.8411581121846077,1.111141406075252,0.9420544337137841,113,519,782,1,299,2H,12.0,506
355383,human,0.0413779365923429,0.9930833119471079,0.35046728971962615,-369,-202,-33,-1,279,2H,12.0,481
359854,human,-0.5875102457285148,1.8470858778732588,0.8736383442265795,-62,1,188,1,298,H,24.0,435
364686,human,0.025587103488899587,0.8081781628786749,0.49547511312217196,-40,-98,-1,-1,300,30T,48.0,551
367939,human,0.07198375965662929,1.0120664625820015,0.6989528795811518,-1,-59,-1,-1,300,H,24.0,476
368375,human,-0.20017664493487652,1.802034804915073,0.4953271028037383,17,-99,-1,-1,299,20T,72.0,360
373769,human,-1.0896902912727398,3.054704186713812,0.9518459069020867,3,179,415,1,277,3H,8.0,439
374774,human,-0.1295203136928551,1.2769398165985808,0.8546255506607929,-29,59,150,1,298,H,24.0,386
376887,human,-0.08895164992303362,1.0063568688760323,0.6562922868741543,69,119,360,1,294,H,24.0,338
377538,human,-0.003390458140929198,1.4917785620861577,0.21839080459770116,-182,-92,-22,-1,295,30T,48.0,333
377543,human,-3.527834922084745,2.5656982120966814,0.9570552147239264,134,340,502,1,299,3H,8.0,411
387658,human,-0.06831343926697242,0.8804365966368196,0.17425742574257425,-675,-338,-1,-1,300,H,24.0,722
387854,human,0.12944964047366325,0.6342909073189111,0.8775055679287305,6,15,-1,-1,300,H,24.0,560
437693,human,-1.4495020990366285,6.390239406198603,0.9333333333333333,26,71,107,1,275,30T,48.0,342
