contributor,category,r2,mae,pga,ctd_100,ctd_200,ctd_300,n_activities,frequency,data_points
nodebb-misty,bot,-0.04346838204713288,5.476797770677909,0.7384615384615385,8,11,12,293,D,77
nodejs-github-bot,bot,-0.2710182108500858,2.312025547403149,0.3557692307692308,-20,-44,-1,300,H,136
nur-bot,bot,0.08316333658622355,1.142327569888321,0.5810276679841897,2,-36,-3,298,H,249
octokit-fixture-user-a,bot,0.8982006291889474,0.565377821229508,1.0,48,168,301,300,H,288
octokitbot,bot,-0.21340356238779368,1.1277620181643742,0.12050832602979843,-2282,-2040,-174,237,H,625
oll-bot,bot,-0.33166892342005627,1.208923115619727,0.9420289855072463,168,291,556,300,H,523
openhab-bot,bot,0.4451408796166121,1.4065411016731277,0.4931506849315068,-5,-7,-1,294,H,127
openshift-cherrypick-robot,bot,-4.8034212153351845,11.910485752586226,0.9615384615384616,45,52,69,293,T,89
openssl-machine,bot,0.03152339513377256,0.6820278917496169,0.7633477633477633,-27,-13,73,300,H,548
pantheon-ci-bot,bot,-0.07847847055325108,9.510725956996676,0.25316455696202533,-78,-78,-6,287,D,35
pdfjsbot,bot,-0.9978106598029934,8.451435337001927,0.75,-3,0,8,300,D,30
pirate-bot,bot,-0.12044755183629019,2.6232021289134013,0.9053627760252366,-13,40,119,268,H,490
pivotal-cla,bot,0.2495506577310107,2.4485590039081053,0.5094339622641509,-3,-1,-1,300,D,65
pytorchbot,bot,0.6610764180386526,0.5073145361421001,0.1,-83,-147,-1,300,H,440
qmk-bot,bot,-0.20562198867953785,6.951602585409186,0.5483870967741935,-3,-5,-3,295,D,36
r-ryantm,bot,-169.9452549470465,19.416083165225537,0.02512562814070352,-340,-305,-25,298,T,83
release-drafter[bot],bot,-0.36172081957849755,3.25228085145449,0.8360655737704918,2,10,18,300,D,60
renovate-approve-2[bot],bot,-1.1762421390820754,3.7756192478525334,0.8347107438016529,10,43,63,300,T,65
repo-ranger[bot],bot,-0.06349009709824616,1.3347480002063765,0.7102473498233216,44,71,56,300,H,278
restyled-io[bot],bot,-0.4965453375223756,1.450141380708382,0.4065934065934066,51,-157,-24,286,T,38
review-notebook-app[bot],bot,-3.35446710419542,9.926937700487443,0.9662921348314607,13,42,62,300,H,144
robot-clickhouse,bot,-0.051135685102454476,1.0497165616474584,0.5299625468164794,-6,-7,-48,294,H,475
rultor,bot,-1.6669485598798293,4.762922728811468,0.07801418439716312,-92,-52,-1,298,H,113
rust-timer,bot,-0.0369219050343319,3.6521542246812695,0.776595744680851,-13,-18,-1,299,H,147
rustbot,bot,-0.029203798796324953,1.3168960837722075,0.5735294117647058,8,-3,-1,300,H,220
sagemaker-bot,bot,-0.2769182191577515,3.5431218390937556,0.21621621621621623,-57,-39,-2,297,H,129
salesforce-cla[bot],bot,0.016951553797310615,5.269198055396561,0.3695652173913043,-8,-19,-1,300,D,85
scrutinizer-notifier,bot,-0.13461704813644704,1.1552962096415418,0.8833333333333333,56,185,385,300,H,657
sentry-io[bot],bot,-0.42096075872963845,4.896981770967729,0.8285714285714286,2,5,8,299,D,32
similar-code-searcher[bot],bot,-0.3970624844308941,5.168012647105775,0.09523809523809523,-20,-22,-1,298,D,45
skia-flutter-autoroll,bot,-0.0857002559378508,2.672115371163781,0.625,-4,0,13,300,H,139
softwarefactory-project-zuul[bot],bot,-0.1604585887708161,1.7117934298398318,0.36036036036036034,-55,-56,-1,300,H,167
soloio-bot,bot,-0.1041650025021379,1.42186646628855,0.19744318181818182,-510,-48,-31,275,H,574
sourcegraph-bot,bot,-2.0925866509933644,3.3549061649689556,0.875,24,28,67,298,T,75
spinnakerbot,bot,-2.036941302967697,23.288630378355254,0.0,-17,-12,-2,291,D,43
spring-builds,bot,0.07005530278092953,4.318050214342072,0.4262295081967213,-21,-24,-1,300,D,74
sprucelabs-ci,bot,-1.4099834526581039,19.988008105618086,0.06060606060606061,-31,-28,-18,287,H,53
sre-bot,bot,-22.07425253536146,2.656020964078159,0.06053550640279395,-1556,-630,-77,294,H,661
stakater-user,bot,-26.72946067252249,4.76753391934426,0.9841409691629956,347,645,982,298,H,193
status-im-auto,bot,-0.23038661511988368,1.13935362621462,0.1773049645390071,-223,-84,-1,299,H,283
submariner-bot,bot,-2.4782167728961473,6.018551105318148,0.9308755760368663,28,111,166,298,H,131
swift-ci,bot,-0.004790712178948109,1.1746117863677468,0.3941176470588235,-37,-82,-2,299,T,124
taichi-gardener,bot,0.035469879294056095,10.491024263841513,0.48,-7,-8,-7,240,D,33
thundernest-bot,bot,-3.1283920856896863,11.842480663969923,0.9,3,12,37,299,D,69
translatewiki,bot,-0.2315782988772328,1.804897481254236,0.03968253968253968,-337,-169,-1,264,H,408
tykbot[bot],bot,-0.15686938299008935,5.654830436274469,0.15789473684210525,-13,-16,-1,294,D,54
usercont-release-bot,bot,0.8057666084831421,0.9953507804146825,0.8990825688073395,-11,24,31,297,H,263
va-bot,bot,0.8219650685969062,1.0135140330992647,0.4,-2,-5,-1,299,D,52
vc-ci,bot,-28.79825602955427,14.604010707214345,0.05714285714285714,-205,-60,-5,299,H,143
violinist-bot,bot,-0.011247291523643455,2.5825391749503455,0.8333333333333334,25,78,93,295,H,172
vmwclabot,bot,-0.5054692428404712,1.1519905851666676,0.8690140845070422,216,306,431,297,H,553
vscode-issue-tracker-bot,bot,0.0,3.3306690738754696e-16,0.0,-1,-1,-1,300,H,300
vtex-io-ci-cd[bot],bot,0.055513755263649545,1.0876641797164144,0.8337182448036952,-95,-56,32,297,H,527
vtex-io-docs-bot[bot],bot,-0.8672605260795638,7.480418147636264,0.9154929577464789,15,15,30,293,D,42
welcome[bot],bot,-0.8167130046821409,2.771571193412146,0.08064516129032258,-88,-48,-5,289,H,129
wet-boew-bot,bot,0.43672617610072706,5.421312219097971,0.7719298245614035,-1,5,4,295,D,71
wso2-jenkins-bot,bot,-0.10249364018770035,1.9951170844944563,0.8027522935779816,23,77,69,299,H,188
335498,human,-14.544751277218303,6.787363564091984,0.9821917808219178,264,308,624,297,H,168
335745,human,-6.502474164993097,38.383283306105746,0.9555555555555556,2,2,36,286,D,56
353444,human,-13.4326507010711,14.115746047741277,0.9583333333333334,11,46,70,298,D,42
355383,human,-0.32571943642126544,6.869734340775598,0.1891891891891892,-16,-18,-4,279,D,40
359854,human,-0.5875102457285148,1.8470858778732588,0.8736383442265795,-62,1,188,298,H,435
364686,human,0.08523116702097033,1.2848460759748404,0.581081081081081,-23,-26,-3,297,H,275
367939,human,0.07198375965662929,1.0120664625820015,0.6989528795811518,-1,-59,-1,300,H,476
368375,human,-0.406357549834778,5.566657006521906,0.8240740740740741,5,34,48,299,H,120
373769,human,-0.11545526646104753,6.736815072084999,0.7974683544303798,-9,-2,23,260,D,55
374774,human,-0.1295203136928551,1.2769398165985808,0.8546255506607929,-29,59,150,298,H,386
376887,human,-0.08895164992303362,1.0063568688760323,0.6562922868741543,69,119,360,294,H,338
377538,human,-0.0019082133477692498,2.7122376902139385,0.16030534351145037,-91,-46,-11,295,H,166
377543,human,-16.288913594151648,13.849291097639021,0.9759036144578314,11,37,57,288,D,51
387658,human,-2.3455843713412725,19.5657474000432,0.9534883720930233,9,18,28,300,D,30
387854,human,0.12944964047366325,0.6342909073189111,0.8775055679287305,6,15,-1,300,H,560
437693,human,-2.0283223376616424,11.472476266994558,0.9518072289156626,4,34,51,270,H,171
437766,human,-0.7805980420882614,9.550307377407663,0.8974358974358975,6,8,16,295,D,34
438655,human,0.09887886755867725,5.6043198609071805,0.38095238095238093,-17,-14,-7,283,D,77
446498,human,-0.770041982446612,1.5817746404161248,0.9089481946624803,75,247,413,300,H,298
449544,human,-0.28057127300276385,7.509493754998294,0.36363636363636365,-21,-7,-1,298,D,56
449583,human,-0.27874984876744446,7.313385137804222,0.7804878048780488,6,6,15,291,D,35
454496,human,0.05873175780546136,1.097248762941215,0.8237986270022883,-28,24,76,297,H,549
